book_id,book_name,author,publisher,publishing_year,language_code,genre
68,My Shadow  Time,William Davis,Macmillan Books,2014,pt,Mystery
69,My Heart  World,John Garcia,Harper Press,2007,ja,Fiction
70,My Past  Heart,Emily Williams,Cambridge Books,2011,de,Thriller
71,A Journey of Heart,David Martinez,Simon Group,2004,ru,Thriller
72,Dark Future  Love,David Johnson,Oxford Books,2007,ja,Self-Help
73,Secret Time  World,Sarah Johnson,Harper Publishing,2019,de,Romance
74,Lost Story of Love,William Johnson,Macmillan Group,2009,it,Non-Fiction
75,Dark Journey  Shadow,Robert Garcia,Macmillan Books,2015,it,Mystery
76,Bright Journey of Love,John Smith,Harper Publishing,2004,es,Romance
77,A Journey of Journey,Sarah Martinez,Penguin Group,2002,ja,Non-Fiction
78,Secret Dream  Love,John Johnson,Simon Publishing,2002,fr,History
79,Bright Love  Dream,Robert Rodriguez,Penguin Group,2018,zh,Mystery
80,Dark Shadow of Time,John Jones,Cambridge House,2020,zh,Self-Help
81,The Heart  Story,Sarah Martinez,Cambridge Press,2010,ja,Romance
82,Dark World of Past,Jane Williams,Harper Group,2014,pt,History
83,Silent Time  World,Jessica Brown,Harper Publishing,2000,zh,History
84,Silent Heart  Time,Jane Jones,Simon Group,2000,ru,Fantasy
85,Bright Love of Story,David Martinez,Harper Publishing,2007,zh,Self-Help
86,A World  Shadow,David Rodriguez,Cambridge Books,2000,ru,Non-Fiction
87,The Story  Heart,Michael Johnson,Penguin Books,2017,it,Mystery
88,Lost Love  Time,Jane Jones,Harper House,2023,es,Self-Help
89,Dark World  Dream,Jane Johnson,Macmillan Publishing,2011,en,Mystery
90,Silent Story  Future,Jessica Miller,Penguin Books,2018,pt,Biography
91,Bright Shadow  Heart,William Johnson,Random House,2014,pt,History
92,The Journey of Shadow,David Garcia,Oxford House,2005,ja,Fiction
93,Bright Journey of Shadow,Jane Johnson,Cambridge House,2011,ru,Self-Help
94,Lost Heart of Future,Sarah Davis,Harper Publishing,2022,fr,Non-Fiction
95,Dark Shadow of Journey,Jane Johnson,Penguin Books,2009,fr,Biography
96,Bright Story  World,William Smith,Harper Books,2022,fr,Self-Help
97,Hidden Journey of Love,John Smith,Oxford House,2012,ja,Biography
98,Dark Heart of World,David Johnson,Penguin Group,2008,en,Mystery
99,Lost Time of Love,Emma Brown,Oxford Press,2020,it,Thriller
100,Silent World of Time,Sarah Williams,Harper Group,2019,ja,Mystery
